Q1,2009-04-06,Q. .攻撃力や耐久力を上昇させる能力で、「ターン終了時まで」と記載されていない場合は、ずっと上昇したままなのでしょうか？,A. いいえ。イベントや能力の効果で上昇しているものは特別な記載がない限りターン終了時に修正を失います。,Q1 （2009-04-06）
Q2,2009-04-06,Q. セットカードがセットされたキャラが裏になる場合、セットカードはどうなるのでしょうか？,A. セットカードは表になったままです。,Q2 （2009-04-06）
Q3,2009-04-06,Q. 【登場】を持つキャラをパートナーにした場合、代償はどのようにすればいいのでしょうか？,A. 【登場】を持つキャラをパートナーにした場合、代償を支払う必要はありません。またレベルアップの時も【登場】のコストは必要ありません。ただし【レベルアップ】の記述がある場合はその代償を支払う必要があります。,Q3 （2009-04-06）
Q4,2009-04-06,Q. フレンドキャラのレベルはいくつになるのでしょうか？,A. フレンドのキャラは全てレベル1になります。ただしエクストラキャラはフレンドで出した場合でもレベルアップすることができます。,Q4 （2009-04-06）
Q5,2009-04-06,"[NP-065：暗殺者“ファントム”2代目「ツヴァイ」]
Q. 《暗殺者“ファントム”2代目「ツヴァイ」》は手札にある場合も「吾妻 玲二」として扱うのでしょうか？",A. はい。扱います。【「～」と同じネームとして扱う】 と記述がある場合はすべて手札にある場合も効果を発揮します。,Q5 （2009-04-06）
Q6,2009-04-06,"[NP-089：マッド・サイエンティスト「ドクターウェスト」]
Q. 《マッド・サイエンティスト「ドクター・ウェスト」》の効果でキャラにセットカードが２枚セットされている時に、《マッド・サイエンティスト「ドクター・ウェスト」》が裏向きになったり控え室に置かれた場合、セットカードはどうなるのでしょうか？",A. その場合、《マッド・サイエンティスト「ドクター・ウェスト」》の能力が失われるので、セットカードを1枚選び控え室に置きます。,Q6 （2009-04-06）
Q7,2009-04-06,"[NP-094：無垢なる刃「デモンベイン」]
Q. 《無垢なる刃「デモンベイン」》がバトルした場合、攻撃力と耐久力はいつまで上昇しているのでしょうか？",A. そのバトル終了時までとなります。なのでバトル終了時に攻撃力、耐久力を-5して、そこで《無垢なる刃「デモンベイン」》の耐久力が0以下になった場合はその時点で裏になります。 【バトルする場合】 と効果期間が指定されている場合は、すべてバトル中のみ効果を受けます。,Q7 （2009-04-06）
Q8,2009-04-06,Q. エクストラキャラは攻撃力補正、耐久力補正を受けるのでしょうか？,A. はい。フレンドとしてアリーナに置かれた場合でもパートナーと同様で補正を受けた数値で最初にアリーナに置かれます。,Q8 （2009-04-06）
Q9,2009-04-06,Q. エクストラキャラはフレンドとして出した場合でもレベルアップできるのでしょうか？,A. はい。可能です。,Q9 （2009-04-06）
Q10,2009-04-06,Q. エクストラキャラを登場させる時にパートナーに重ねて登場させてもいいのでしょうか？,A. はい。その場合、パートナーにぴったり重ねてエクストラキャラを置きます。そのパートナーがレベルアップしていた場合は、その補正も引き継ぎます。また、その後エクストラキャラをレベルアップさせることも可能です。ただし、その場合は最初のパートナーのオートレベルアップは行われなくなります。,Q10 （2009-04-06）
Q11,2009-04-06,Q. エクストラキャラをアリーナの裏向きのキャラに重ねる場合は、どの状態で置かれるのでしょうか？,A. エクストラキャラを登場させた場合、表スタンド状態で登場します。重ねるキャラがダメージを受けていた場合、そのダメージは引き継がれません。,Q11 （2009-04-06）
Q12,2010-05-21,"[NP-094：無垢なる刃「デモンベイン」]
Q. 《無垢なる刃「デモンベイン」》を登場させた後に、「大十字 九郎」や「アル・アジフ」をアリーナに登場させる事はできるのでしょうか？","A. はい、可能ですが、その場合は総合ルール11.4.1.ネーム重複処理により、《無垢なる刃「デモンベイン」》を控え室に置かなければなりません。
エクストラキャラは【エクストラ】内に記述されているネームも同時に持ちます。なので「大十字 九郎」や「アル・アジフ」を後から登場させる場合は、《無垢なる刃「デモンベイン」》がエクストラデッキに置かれます。
エクストラカードはアリーナを離れて別の領域に移動する場合、すべてエクストラデッキに戻ります。",Q12 （2010-05-21）
Q13,2010-05-21,Q. 【登場】のコストとして、エクストラキャラを控え室に置くことは可能でしょうか？,"A. はい。可能です。
その場合、エクストラカードは控え室でなくエクストラデッキに戻り、元のキャラは控え室に置かれます。
ただし、エクストラキャラがパートナーになっている場合はできません。",Q13 （2010-05-21）
